authors,original_publication_year,original_title,bookImage,bookDesc,bookRating,bookPages,bookGenres,language_code,original_publication_year
Brandon Sanderson,2010,The Way of Kings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388184640l/7235533.jpg,"From #1 New York Times bestselling author Brandon Sanderson, The Way of Kings, book one of The Stormlight Archive begins an incredible new saga of epic proportion.Roshar is a world of stone and storms. Uncanny tempests of incredible power sweep across the rocky terrain so frequently that they have shaped ecology and civilization alike. Animals hide in shells, trees pull in branches, and grass retracts into the soilless ground. Cities are built only where the topography offers shelter.It has been centuries since the fall of the ten consecrated orders known as the Knights Radiant, but their Shardblades and Shardplate remain: mystical swords and suits of armor that transform ordinary men into near-invincible warriors. Men trade kingdoms for Shardblades. Wars were fought for them, and won by them.One such war rages on a ruined landscape called the Shattered Plains. There, Kaladin, who traded his medical apprenticeship for a spear to protect his little brother, has been reduced to slavery. In a war that makes no sense, where ten armies fight separately against a single foe, he struggles to save his men and to fathom the leaders who consider them expendable.Brightlord Dalinar Kholin commands one of those other armies. Like his brother, the late king, he is fascinated by an ancient text called The Way of Kings. Troubled by over-powering visions of ancient times and the Knights Radiant, he has begun to doubt his own sanity.Across the ocean, an untried young woman named Shallan seeks to train under an eminent scholar and notorious heretic, Dalinar's niece, Jasnah. Though she genuinely loves learning, Shallan's motives are less than pure. As she plans a daring theft, her research for Jasnah hints at secrets of the Knights Radiant and the true cause of the war.The result of over ten years of planning, writing, and world-building, The Way of Kings is but the opening movement of the Stormlight Archive, a bold masterpiece in the making.Speak again the ancient oaths:Life before death.Strength before weakness.Journey before Destination.and return to men the Shards they once bore.The Knights Radiant must stand again.",4.61,1007 pages,"Fantasy/16,599|Fiction/1,996|Fantasy-Epic Fantasy/1,219|Fantasy-High Fantasy/790|Audiobook/479|Adult/421|Science Fiction Fantasy/401|Epic/323|Fantasy-Magic/317|Adventure/312",eng,2010
Richelle Mead,2009,Vampire Academy Collection,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424313761l/6339989.jpg,"Tear into the utterly addictive Vampire Academy series this holiday season! Now you can have the first three novels in the New York Times bestselling series in a special edition box set!Find out where it all began for Guardian Rose Hathaway and her bloodthirsty best friend Lissa in Vampire Academy, watch all the delicious drama unfold in Frostbite, and fall in love with Shadow Kiss - for the first time, or all over again!Includes the later edition printings by Razorbill:* Vampire Academy (ISBN: 9781595141743)* Frostbite (ISBN: 9781595141750)* Shadow Kiss (ISBN: 9781595141972)",4.61,1120 pages,Paranormal-Vampires/74|Fantasy/62|Young Adult/59|Fantasy-Paranormal/51|Romance/33|Fantasy-Supernatural/14|Romance-Paranormal Romance/13|Fiction/11|Young Adult-Young Adult Fantasy/11|Fantasy-Urban Fantasy/9,,2009
Gordon B. Hinckley,2000,Standing for Something: 10 Neglected Virtues That Will Heal Our Hearts and Homes,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388192142l/596259.jpg,"In this national bestseller, the president of The Church of Jesus Christ of Latter-day Saints, Gordon B. Hinckley, has created a classic look at the values that can change our world--and how to stand up for them. Drawing on anecdotes from his much-admired life of faith and service, as well as examples from American culture today, he examines ten virtues that have always illuminated the path to a better world: love, honesty, morality, civility, learning, forgiveness and mercy, thrift and industry, gratitude, optimism, and faith. He then shows how the two guardians of virtue--marriage and the family--can keep us on that path, even in difficult times. Standing for Something is an inspiring blueprint for what we all can do--as individuals, as a nation, and as a world community--to rediscover the values and virtues that have historically made us strong and that will lead us to a brighter future.",4.6,256 pages,Religion/288|Nonfiction/214|Christianity-Lds/189|Religion-Church/84|Self Help/69|Inspirational/69|Spirituality/39|Lds-Lds Non Fiction/27|Philosophy/23|Christian/17,,2000
"Bill Watterson, G.B. Trudeau",1987,Calvin and Hobbes,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441227694l/77727._SX318_.jpg,"This is the first collection of the popular comic strip that features Calvin, a rambunctious 6-year-old boy, and his stuffed tiger, Hobbes, who comes charmingly to life.",4.6,128 pages,"Sequential Art-Comics/1,220|Humor/693|Sequential Art-Graphic Novels/394|Fiction/311|Childrens/133|Humor-Comedy/126|Graphic Novels Comics/113|Comics-Comic Book/92|Classics/87|Sequential Art-Comic Strips/76",en-US,1987
Rick Riordan,2008,Percy Jackson and the Olympians Boxed Set,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388328927l/6443349.jpg,"The complete Percy Jackson & the Olympians series in hardcover, packaged in a gorgeous, reclosable “steamer trunk” fit for demigods. This perfect gift for Percy fans boasts a hidden compartment containing an exclusive Camp Half-Blood map and stickers. ",4.6,1744 pages,Fantasy/366|Young Adult/154|Fantasy-Mythology/100|Fiction/82|Adventure/40|Childrens-Middle Grade/34|Mythology-Greek Mythology/30|Childrens/18|Fantasy-Urban Fantasy/15|Young Adult-Young Adult Fantasy/14,eng,2008
Anonymous,1909,Holy Bible: New International Version,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382581321l/280111.jpg,The New International Version is the world's most popular Bible in modern English and is renowned for its combination of accuracy and clarity of language.,4.59,1248 pages,Religion/445|Christian/407|Nonfiction/270|Classics/178|Religion-Christianity/153|Reference/106|Spirituality/95|History/77|Religion-Faith/75|Philosophy/72,eng,1909
Bryan Stevenson,2014,Just Mercy: A Story of Justice and Redemption,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420795201l/20342617.jpg,"An unforgettable true story about the potential for mercy to redeem us, and a clarion call to end mass incarceration in America — from one of the most inspiring lawyers of our time.Bryan Stevenson was a young lawyer when he founded the Equal Justice Initiative, a nonprofit law office in Montgomery, Alabama, dedicated to defending the poor, the incarcerated, and the wrongly condemned.Just Mercy tells the story of EJI, from the early days with a small staff facing the nation’s highest death sentencing and execution rates, through a successful campaign to challenge the cruel practice of sentencing children to die in prison, to revolutionary projects designed to confront Americans with our history of racial injustice.One of EJI’s first clients was Walter McMillian, a young Black man who was sentenced to die for the murder of a young white woman that he didn’t commit. The case exemplifies how the death penalty in America is a direct descendant of lynching — a system that treats the rich and guilty better than the poor and innocent.",4.59,336 pages,"Nonfiction/4,442|Autobiography-Memoir/1,071|Social Movements-Social Justice/729|Race/630|Politics/534|History/446|Audiobook/440|Biography/366|Law/364|Race-Anti Racist/286",eng,2014
Sherrilyn Kenyon,2013,Styxx,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359269406l/15767586.jpg,"Just when you thought doomsday was over...Centuries ago Acheron saved the human race by imprisoning an ancient evil bent on absolute destruction. Now that evil has been unleashed and it is out for revenge.As the twin to Acheron, Styxx hasn’t always been on his brother’s side. They’ve spent more centuries going at each other’s throats than protecting their backs. Now Styxx has a chance to prove his loyalty to his brother, but only if he’s willing to trade his life and future for Acheron’s.The Atlantean goddess of Wrath and Misery, Bethany was born to right wrongs. But it was never a task she relished. Until now. She owes Acheron a debt that she vows to repay, no matter what it takes. He will join their fellow gods in hell and nothing is going to stop her.But things are never what they seem, and Acheron is no longer the last of his line. Styxx and Acheron must put aside their past and learn to trust each other or more will suffer.Yet it’s hard to risk your own life for someone who once tried to take yours, even when it's your own twin, and when loyalties are skewed and no one can be trusted, not even yourself, how do you find a way back from the darkness that wants to consume the entire world? One that wants to start by devouring your very soul?",4.58,836 pages,Romance-Paranormal Romance/398|Fantasy-Paranormal/386|Romance/315|Fantasy/250|Fantasy-Mythology/104|Paranormal-Vampires/99|Fantasy-Urban Fantasy/95|Adult/73|Paranormal-Demons/60|Fantasy-Supernatural/49,eng,2013
Kristin Hannah,2015,The Nightingale,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598993363l/21853621._SY475_.jpg,"In love we find out who we want to be.In war we find out who we are.FRANCE, 1939In the quiet village of Carriveau, Vianne Mauriac says good-bye to her husband, Antoine, as he heads for the Front. She doesn’t believe that the Nazis will invade France…but invade they do, in droves of marching soldiers, in caravans of trucks and tanks, in planes that fill the skies and drop bombs upon the innocent. When a German captain requisitions Vianne’s home, she and her daughter must live with the enemy or lose everything. Without food or money or hope, as danger escalates all around them, she is forced to make one impossible choice after another to keep her family alive.Vianne’s sister, Isabelle, is a rebellious eighteen-year-old, searching for purpose with all the reckless passion of youth. While thousands of Parisians march into the unknown terrors of war, she meets Gaëtan, a partisan who believes the French can fight the Nazis from within France, and she falls in love as only the young can…completely. But when he betrays her, Isabelle joins the Resistance and never looks back, risking her life time and again to save others.With courage, grace and powerful insight, bestselling author Kristin Hannah captures the epic panorama of World War II and illuminates an intimate part of history seldom seen: the women’s war. The Nightingale tells the stories of two sisters, separated by years and experience, by ideals, passion and circumstance, each embarking on her own dangerous path toward survival, love, and freedom in German-occupied, war-torn France—a heartbreakingly beautiful novel that celebrates the resilience of the human spirit and the durability of women. It is a novel for everyone, a novel for a lifetime.",4.57,440 pages,"Historical-Historical Fiction/11,732|Fiction/5,085|Historical/1,825|War-World War II/1,278|War/1,020|Audiobook/942|Adult/778|Cultural-France/578|Romance/546|Adult Fiction/532",eng,2015
Brandon Sanderson,2009,Mistborn Trilogy Boxed Set,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1257442247l/6604209.jpg,"The New York Times bestselling series from Brandon Sanderson.This boxed set contains:
Mistborn: The Final Empire

The Well of Ascension

The Hero of Ages
",4.57,2176 pages,"Fantasy/1,162|Fiction/144|Fantasy-Epic Fantasy/69|Science Fiction Fantasy/35|Fantasy-Magic/30|Fantasy-High Fantasy/28|Science Fiction/22|Epic/17|Adventure/13|Adult/12",en-US,2009
"J.K. Rowling, Mary GrandPré",2005,Harry Potter and the Half-Blood Prince,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587697303l/1._SX318_.jpg,"The war against Voldemort is not going well; even Muggle governments are noticing. Ron scans the obituary pages of the Daily Prophet, looking for familiar names. Dumbledore is absent from Hogwarts for long stretches of time, and the Order of the Phoenix has already suffered losses.And yet . . .As in all wars, life goes on. The Weasley twins expand their business. Sixth-year students learn to Apparate - and lose a few eyebrows in the process. Teenagers flirt and fight and fall in love. Classes are never straightforward, through Harry receives some extraordinary help from the mysterious Half-Blood Prince.So it's the home front that takes center stage in the multilayered sixth installment of the story of Harry Potter. Here at Hogwarts, Harry will search for the full and complete story of the boy who became Lord Voldemort - and thereby find what may be his only vulnerability.",4.57,652 pages,"Fantasy/49,780|Young Adult/15,799|Fiction/14,157|Fantasy-Magic/3,971|Childrens/2,913|Adventure/2,098|Audiobook/1,755|Childrens-Middle Grade/1,663|Classics/1,382|Science Fiction Fantasy/1,289",eng,2005
"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter and the Prisoner of Azkaban,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1499277281l/5.jpg,"For twelve long years, the dread fortress of Azkaban held an infamous prisoner named Sirius Black. Convicted of killing thirteen people with a single curse, he was said to be the heir apparent to the Dark Lord, Voldemort.Now he has escaped, leaving only two clues as to where he might be headed: Harry Potter's defeat of You-Know-Who was Black's downfall as well. And the Azkaban guards heard Black muttering in his sleep, ""He's at Hogwarts . . . he's at Hogwarts.""Harry Potter isn't safe, not even within the walls of his magical school, surrounded by his friends. Because on top of it all, there may well be a traitor in their midst.",4.57,435 pages,"Fantasy/53,580|Young Adult/16,116|Fiction/15,475|Fantasy-Magic/4,360|Childrens/3,693|Childrens-Middle Grade/2,549|Adventure/2,406|Audiobook/2,088|Classics/1,636|Science Fiction Fantasy/1,345",eng,1999
Cassandra Clare,2009,The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312016549l/6485421.jpg,"In City of Bones, fifteen-year-old Clary Fray is introduced to the world of the Shadowhunters, a secret cadre of warriors dedicated to driving demons out of our world. And she's introduced with a vengeance, when Clary's mother disappears and Clary herself is almost killed by a grotesque monster sent by the evil and powerful Shadowhunter, Valentine. How could a mere human survive such an attack. In the second novel, City of Ashes, Clary just wants her life to go back to normal--but that turns out to be impossible. For one thing, her mother is still in the hospital, in a mysterious coma. For another, she and her newfound brother Jace have fallen under a cloud of suspicion now that the Shadowhunter world knows that Valentine is still alive--and that Jace and Clary are his son and daughter. Then Clary's best friend Simon is turned into a vampire and kidnapped by Valentine, who intends to sacrifice him as part of a bloody ritual that will make the Mortal Instruments Valentine's forever. In book three, City of Glass, Clary has to use all her ingenuity and newfound magical skills to get herself to the Glass City in Idris, the secretive Shadowhunters' home country, where she is forbidden to go--for it is only there that she can find the cure to the enchanted sleeping sickness to which her mother has succumbed. When Valentine attacks the city and destroys the demon towers, Clary and her allies are all that stand between him and the total annihilation of all Shadowhunters. Love is a mortal sin and the past tangles inextricably with the present as Clary and Jace face down their father in the final installment of the Mortal Instruments series. About the AuthorCassandra Clare made her fiction debut with The Mortal Instruments series, which has been on many bestseller lists.",4.56,1520 pages,Fantasy/278|Young Adult/196|Fantasy-Paranormal/88|Romance/73|Fantasy-Urban Fantasy/63|Paranormal-Vampires/44|Paranormal-Angels/39|Fantasy-Supernatural/36|Fiction/35|Romance-Paranormal Romance/31,eng,2009
Jim Butcher,2014,Skin Game,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387236318l/19486421.jpg,"Harry Dresden, Chicago's only professional wizard, is about to have a very bad day…Because as Winter Knight to the Queen of Air and Darkness, Harry never knows what the scheming Mab might want him to do. Usually, it’s something awful.He doesn’t know the half of it…Mab has just traded Harry’s skills to pay off one of her debts. And now he must help a group of supernatural villains—led by one of Harry’s most dreaded and despised enemies, Nicodemus Archleone—to break into the highest-security vault in town, so that they can then access the highest-security vault in the Nevernever. It's a smash and grab job to recover the literal Holy Grail from the vaults of the greatest treasure hoard in the supernatural world—which belongs to the one and only Hades, Lord of the freaking Underworld and generally unpleasant character. Worse, Dresden suspects that there is another game afoot that no one is talking about. And he's dead certain that Nicodemus has no intention of allowing any of his crew to survive the experience. Especially Harry.Dresden's always been tricky, but he's going to have to up his backstabbing game to survive this mess—assuming his own allies don’t end up killing him before his enemies get the chance…",4.56,454 pages,"Fantasy/2,576|Fantasy-Urban Fantasy/2,209|Fiction/542|Fantasy-Paranormal/321|Mystery/308|Fantasy-Magic/294|Audiobook/214|Fantasy-Supernatural/149|Science Fiction Fantasy/112|Fairies-Fae/78",eng,2014
"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554006152l/6.jpg,"Harry Potter is midway through his training as a wizard and his coming of age. Harry wants to get away from the pernicious Dursleys and go to the International Quidditch Cup with Hermione, Ron, and the Weasleys. He wants to dream about Cho Chang, his crush (and maybe do more than dream). He wants to find out about the mysterious event that's supposed to take place at Hogwarts this year, an event involving two other rival schools of magic, and a competition that hasn't happened for hundreds of years. He wants to be a normal, fourteen-year-old wizard. But unfortunately for Harry Potter, he's not normal - even by wizarding standards.And in his case, different can be deadly.",4.56,734 pages,"Fantasy/51,869|Young Adult/16,256|Fiction/14,768|Fantasy-Magic/4,221|Childrens/3,268|Adventure/2,272|Childrens-Middle Grade/2,045|Audiobook/1,939|Classics/1,522|Science Fiction Fantasy/1,333",eng,2000
"Francine Rivers, Richard Ferrone",1993,A Voice in the Wind,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459567327l/95617.jpg,"“The city was silently bloating in the hot sun, rotting like the thousands of bodies that lay where they had fallen in street battles.” With this opening sentence, A Voice in the Wind transports readers back to Jerusalem during the first Jewish-Roman War, some seventy years after the death of Christ. Following the prides and passions of a group of Jews, Romans and Barbarians living at the time of the siege, the narrative is centered on an ill-fated romance between a steadfast slave girl, Hadassah, and Marcus, the brother of her owner and a handsome aristocrat. After surviving the massacre of her family and the destruction of Jerusalem by the Romans, Hadassah is captured and sold to a well-to-do merchant’s family. Brought to Rome, she is pressed into service as a personal slave to hedonistic Julia Valerian. Hadassah struggles to walk in the footsteps of Jesus and to treat her masters in a manner in keeping with His teachings, but she is forced to keep her religious identity a secret in order to survive. Confused and alone, she has only her faith to cling to as she tries to subtly bring God into the lives of her captors. Reckless, impulsive, and villainous, Julia tries to undermine Hadassah at every turn. But Julia’s brother, Marcus, is a different sort altogether. Is it possible for a love between Hadassah and Marcus to flourish considering not only their differing stations in life, but also the gap between Hadassah’s unrelenting faith and Marcus’ lack of belief in anything? Simultaneously, Atretes, a captured soldier from Germania, is forced to become a gladiator. This is the time of Rome’s decline and the decadence of a civilization on the verge of self-destruction serves as a powerful backdrop to the Barbarian’s struggle for survival in the arena.",4.56,520 pages,Christian Fiction/987|Historical-Historical Fiction/875|Christian/670|Fiction/481|Romance/256|Historical/224|Romance-Historical Romance/67|Adult/61|Romance-Christian Romance/59|Religion/54,en-US,1993
